Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.054483,80.122583,18.4,34.771097,276.733623
13.054519,80.12227,18.4,34.14002,283.204797
13.054599,80.12192,18.6,38.942029,289.495373
13.055107,80.120447,20,169.260663,287.797787
13.05537,80.119606,18,95.676755,288.57012
13.055406,80.119496,18,12.569732,288.205449
13.056008,80.117617,20,214.25956,287.585986
13.056075,80.1174,20,24.657942,287.02693
13.056609,80.11561,20.3,202.781716,282.130799
13.056667,80.115333,20.3,30.689995,278.618762
13.056755,80.114737,20.4,65.296192,274.819975
13.056778,80.114457,20.4,30.437284,271.336553
13.05679,80.113929,20.5,57.20861,267.29359
13.056699,80.111953,20.7,214.279727,270.102242
13.056701,80.110801,20.9,124.78507,273.042961
13.056746,80.109932,21,94.263147,275.461418
13.056765,80.109728,21,22.198083,272.900004
13.056799,80.109039,20.5,74.728289,274.694872
13.056867,80.108189,19.6,92.382077,275.964593
13.057108,80.105821,19,257.897996,274.597465
13.057155,80.105221,18.7,65.201793,272.604841
13.057282,80.102355,19.4,310.76607,269.703516
13.057279,80.10176,20.2,64.451232,266.424553
13.057258,80.101415,20.5,37.443267,261.851761
13.05714,80.100569,21.4,92.573284,255.849584
13.056735,80.09892,20.5,184.209402,258.178326
13.056578,80.09815,20.8,85.213988,260.607609
13.056476,80.097517,21,69.498457,261.415368
13.056471,80.097483,20,3.724619,261.957106
13.056437,80.097236,20,27.020907,264.118842
13.056264,80.095512,20,187.732474,259.549001
13.056149,80.094872,20.6,70.49456,253.920958
13.056092,80.094669,20.7,22.884276,248.718362
13.0559,80.094163,21.1,58.82137,246.165856
13.055381,80.092957,21,142.814195,245.095462
13.055054,80.092234,21,86.345211,240.884516
13.054799,80.091764,22.1,58.274394,233.020152
13.054565,80.091445,22.2,43.255389,227.97344
13.054342,80.091191,22.2,37.038656,221.690131
13.054062,80.090935,22.3,41.693272,217.675269
13.053898,80.090805,22.4,23.040119,213.267528
13.053702,80.090673,22.3,26.065928,209.889259
13.053241,80.090401,22.2,59.125058,205.915527
13.051583,80.089574,24,204.973284,205.17431
13.051212,80.089395,23.4,45.582869,207.306408
13.050578,80.089059,23.3,79.33858,211.585116
13.050456,80.088982,23,15.924837,210.011008
13.050343,80.088915,23,14.510452,212.191906
13.050131,80.088778,23,27.855607,213.030149
13.049671,80.088471,23.2,61.009817,219.200302
13.049499,80.088327,24,24.679968,219.342614
13.049417,80.088258,24.5,11.789953,229.070096
13.049232,80.088039,24.6,31.399703,239.455658
13.049136,80.087872,24.7,21.004725,255.390981
13.049055,80.087553,25,35.709727,256.701274
13.04902,80.087401,27,16.918879,257.770875
13.048948,80.08706,27,37.796001,264.121317
13.04885,80.086083,29,106.391713,261.978363
13.048769,80.085493,28.5,64.54249,257.995852
13.048653,80.084933,28,62.017452,253.152354
13.048458,80.084272,27,74.813108,250.498721
13.048389,80.084072,27,22.983224,251.149153
13.048237,80.083615,27,52.309772,247.676876
13.048215,80.08356,27,6.440488,249.058816
13.048045,80.083104,24,52.889188,249.38088
13.047747,80.082291,25,94.095048,253.532128
13.047383,80.081027,26,142.77885,253.534686
13.04729,80.080704,27,36.48495,256.041445
13.047159,80.080163,27,60.386682,259.145495
13.047026,80.079451,25.6,78.532055,263.759414
13.046995,80.07916,25.5,31.710325,267.550972
13.046971,80.078584,25,62.451934,268.21162
13.046955,80.078058,24,57.00644,268.236238
13.046928,80.077158,25,97.538247,268.223796
13.046877,80.07547,25.8,182.939666,264.982752
13.046851,80.075166,25.9,33.057315,258.857813
13.046766,80.074723,26.1,48.909694,251.110823
13.046704,80.074537,26,21.295192,246.548003
13.046562,80.074201,25,39.674434,243.702299
13.046238,80.073528,27.3,81.318727,248.866196
13.046148,80.073289,27,27.756509,254.680654
13.046057,80.072948,26.7,38.299632,262.105783
13.04599,80.072452,26.4,54.243193,264.311207
13.045898,80.071504,26.7,103.200303,255.555547
13.045764,80.07097,28,59.733735,253.628903
13.045505,80.070065,27,102.176852,254.691362
13.045473,80.069945,25,13.477218,253.530621
13.04506,80.068511,26.8,161.984483,252.750835
13.044099,80.065334,26.6,360.358198,251.424879
13.043677,80.064045,27,147.30572,248.86695
13.043526,80.063644,28.5,46.570801,246.52569
